업체명	x인자 No.	통화	No	2015 Q1	2015 Q2	2015 Q3	2015 Q4	2016 Q1	2016 Q2	2016 Q3	2016 Q4	2017 Q1	2017 Q2	2017 Q3	2017 Q4	2018 Q1	2018 Q2	2018 Q3	2018 Q4	2019 Q1	2019 Q2	2019 Q3	2019 Q4	2020 Q1	2020 Q2	2020 Q3	2020 Q4	2021 Q1	2021 Q2	2021 Q3	2021 Q4	2022 Q1	2022 Q2	2022 Q3	2022 Q4	2023 Q1	2023 Q2	2023 Q3	2023 Q4	2024 Q1	2024 Q2	2024 Q3	2024 Q4	2025 Q1	2025 Q2	2025 Q3	2025 Q4
SIEMENS		EUR	4	-1,900,000,000	-1,900,000,000	-1,900,000,000	-1,900,000,000	-2,140,000,000	-2,140,000,000	-2,140,000,000	-2,140,000,000	-2,410,000,000	-2,410,000,000	-2,410,000,000	-2,410,000,000	-2,600,000,000	-2,600,000,000	-2,600,000,000	-2,600,000,000	-2,610,000,000	-2,610,000,000	-2,610,000,000	-2,610,000,000	-1,550,000,000	-1,550,000,000	-1,550,000,000	-1,550,000,000	-1,730,000,000	-1,730,000,000	-1,730,000,000	-1,730,000,000	-2,080,000,000	-2,080,000,000	-2,080,000,000	-2,080,000,000	-2,220,000,000	-2,220,000,000	-2,220,000,000	-2,220,000,000	-2,090,000,000	-2,090,000,000	-2,090,000,000	-2,090,000,000		 - 	 - 	 - 
SIEMENS		EUR	5	66,728,000,000	66,728,000,000	66,728,000,000	66,728,000,000	84,259,000,000	84,259,000,000	84,259,000,000	84,259,000,000	95,802,000,000	95,802,000,000	95,802,000,000	95,802,000,000	88,742,000,000	88,742,000,000	88,742,000,000	88,742,000,000	77,645,000,000	77,645,000,000	77,645,000,000	77,645,000,000	85,907,000,000	85,907,000,000	85,907,000,000	85,907,000,000	113,299,000,000	113,299,000,000	113,299,000,000	113,299,000,000	79,905,000,000	79,905,000,000	79,905,000,000	79,905,000,000	107,367,000,000	107,367,000,000	107,367,000,000	107,367,000,000	141,274,000,000	141,274,000,000	141,274,000,000	141,274,000,000	165,975,000,000	165,975,000,000	165,975,000,000	165,975,000,000
SMIC		USD 	4	-1,230,000,000	-1,230,000,000	-1,230,000,000	-1,230,000,000	-2,760,000,000	-2,760,000,000	-2,760,000,000	-2,760,000,000	-2,290,000,000	-2,290,000,000	-2,290,000,000	-2,290,000,000	-1,810,000,000	-1,810,000,000	-1,810,000,000	-1,810,000,000	-1,870,000,000	-1,870,000,000	-1,870,000,000	-1,870,000,000	-5,270,000,000	-5,270,000,000	-5,270,000,000	-5,270,000,000	-4,120,000,000	-4,120,000,000	-4,120,000,000	-4,120,000,000	-6,170,000,000	-6,170,000,000	-6,170,000,000	-6,170,000,000	-7,630,000,000	-7,630,000,000	-7,630,000,000	-7,630,000,000	-7,660,000,000	-7,660,000,000	-7,660,000,000	-7,660,000,000		 - 	 - 	 - 
SMIC		USD 	5	4,289,000,000	4,289,000,000	4,289,000,000	4,289,000,000	6,677,000,000	6,677,000,000	6,677,000,000	6,677,000,000	8,507,000,000	8,507,000,000	8,507,000,000	8,507,000,000	4,408,000,000	4,408,000,000	4,408,000,000	4,408,000,000	7,752,000,000	7,752,000,000	7,752,000,000	7,752,000,000	33,580,000,000	33,580,000,000	33,580,000,000	33,580,000,000	30,445,000,000	30,445,000,000	30,445,000,000	30,445,000,000	24,445,000,000	24,445,000,000	24,445,000,000	24,445,000,000	29,942,000,000	29,942,000,000	29,942,000,000	29,942,000,000	50,289,000,000	50,289,000,000	50,289,000,000	50,289,000,000	59,986,000,000	59,986,000,000	59,986,000,000	59,986,000,000
Facebook		USD	4	-2,520,000,000	-2,520,000,000	-2,520,000,000	-2,520,000,000	-4,490,000,000	-4,490,000,000	-4,490,000,000	-4,490,000,000	-6,730,000,000	-6,730,000,000	-6,730,000,000	-6,730,000,000	-13,920,000,000	-13,920,000,000	-13,920,000,000	-13,920,000,000	-15,100,000,000	-15,100,000,000	-15,100,000,000	-15,100,000,000	-15,120,000,000	-15,120,000,000	-15,120,000,000	-15,120,000,000	-18,570,000,000	-18,570,000,000	-18,570,000,000	-18,570,000,000	-31,430,000,000	-31,430,000,000	-31,430,000,000	-31,430,000,000	-27,270,000,000	-27,270,000,000	-27,270,000,000	-27,270,000,000	-37,260,000,000	-37,260,000,000	-37,260,000,000	-37,260,000,000		 - 	 - 	 - 
Facebook		USD	5	295,978,000,000	295,978,000,000	295,978,000,000	295,978,000,000	331,593,000,000	331,593,000,000	331,593,000,000	331,593,000,000	512,759,000,000	512,759,000,000	512,759,000,000	512,759,000,000	376,725,000,000	376,725,000,000	376,725,000,000	376,725,000,000	585,321,000,000	585,321,000,000	585,321,000,000	585,321,000,000	778,040,000,000	778,040,000,000	778,040,000,000	778,040,000,000	935,645,000,000	935,645,000,000	935,645,000,000	935,645,000,000	315,555,000,000	315,555,000,000	315,555,000,000	315,555,000,000	910,122,000,000	910,122,000,000	910,122,000,000	910,122,000,000	1,478,113,000,000	1,478,113,000,000	1,478,113,000,000	1,478,113,000,000	1,460,300,000,000	1,460,300,000,000	1,460,300,000,000	1,460,300,000,000
INTEL		USD	4	19,020,000,000	19,020,000,000	19,020,000,000	19,020,000,000	21,810,000,000	21,810,000,000	21,810,000,000	21,810,000,000	22,110,000,000	22,110,000,000	22,110,000,000	22,110,000,000	29,430,000,000	29,430,000,000	29,430,000,000	29,430,000,000	33,140,000,000	33,140,000,000	33,140,000,000	33,140,000,000	35,380,000,000	35,380,000,000	35,380,000,000	35,380,000,000	29,990,000,000	29,990,000,000	29,990,000,000	29,990,000,000	15,430,000,000	15,430,000,000	15,430,000,000	15,430,000,000	11,470,000,000	11,470,000,000	11,470,000,000	11,470,000,000	8,290,000,000	8,290,000,000	8,290,000,000	8,290,000,000		 - 	 - 	 - 
INTEL		USD	5	164,835,000,000	164,835,000,000	164,835,000,000	164,835,000,000	173,590,000,000	173,590,000,000	173,590,000,000	173,590,000,000	216,310,000,000	216,310,000,000	216,310,000,000	216,310,000,000	213,367,000,000	213,367,000,000	213,367,000,000	213,367,000,000	261,348,000,000	261,348,000,000	261,348,000,000	261,348,000,000	192,893,000,000	192,893,000,000	192,893,000,000	192,893,000,000	210,508,000,000	210,508,000,000	210,508,000,000	210,508,000,000	105,404,000,000	105,404,000,000	105,404,000,000	105,404,000,000	212,444,000,000	212,444,000,000	212,444,000,000	212,444,000,000	87,554,000,000	87,554,000,000	87,554,000,000	87,554,000,000	98,334,000,000	98,334,000,000	98,334,000,000	98,334,000,000
KLA		USD	4	-45,790,000	-45,790,000	-45,790,000	-45,790,000	-31,740,000	-31,740,000	-31,740,000	-31,740,000	-38,590,000	-38,590,000	-38,590,000	-38,590,000	-66,960,000	-66,960,000	-66,960,000	-66,960,000	-130,000,000	-130,000,000	-130,000,000	-130,000,000	-153,000,000	-153,000,000	-153,000,000	-153,000,000	-232,000,000	-232,000,000	-232,000,000	-232,000,000	-307,000,000	-307,000,000	-307,000,000	-307,000,000	-342,000,000	-342,000,000	-342,000,000	-342,000,000	-277,000,000	-277,000,000	-277,000,000	-277,000,000		 - 	 - 	 - 
KLA		USD	5	8,989,000,000	8,989,000,000	8,989,000,000	8,989,000,000	11,406,000,000	11,406,000,000	11,406,000,000	11,406,000,000	14,345,000,000	14,345,000,000	14,345,000,000	14,345,000,000	15,955,000,000	15,955,000,000	15,955,000,000	15,955,000,000	19,104,000,000	19,104,000,000	19,104,000,000	19,104,000,000	30,154,000,000	30,154,000,000	30,154,000,000	30,154,000,000	49,695,000,000	49,695,000,000	49,695,000,000	49,695,000,000	47,618,000,000	47,618,000,000	47,618,000,000	47,618,000,000	66,544,000,000	66,544,000,000	66,544,000,000	66,544,000,000	111,012,000,000	111,012,000,000	111,012,000,000	111,012,000,000	90,336,000,000	90,336,000,000	90,336,000,000	90,336,000,000
LAMresearch		USD	4	-198,000,000	-198,000,000	-198,000,000	-198,000,000	-175,000,000	-175,000,000	-175,000,000	-175,000,000	-157,000,000	-157,000,000	-157,000,000	-157,000,000	-273,000,000	-273,000,000	-273,000,000	-273,000,000	-303,000,000	-303,000,000	-303,000,000	-303,000,000	-203,000,000	-203,000,000	-203,000,000	-203,000,000	-349,000,000	-349,000,000	-349,000,000	-349,000,000	-546,000,000	-546,000,000	-546,000,000	-546,000,000	-502,000,000	-502,000,000	-502,000,000	-502,000,000	-397,000,000	-397,000,000	-397,000,000	-397,000,000		 - 	 - 	 - 
LAMresearch		USD	5	12,880,000,000	12,880,000,000	12,880,000,000	12,880,000,000	13,416,000,000	13,416,000,000	13,416,000,000	13,416,000,000	22,814,000,000	22,814,000,000	22,814,000,000	22,814,000,000	28,355,000,000	28,355,000,000	28,355,000,000	28,355,000,000	28,162,000,000	28,162,000,000	28,162,000,000	28,162,000,000	46,954,000,000	46,954,000,000	46,954,000,000	46,954,000,000	92,802,000,000	92,802,000,000	92,802,000,000	92,802,000,000	59,113,000,000	59,113,000,000	59,113,000,000	59,113,000,000	86,362,000,000	86,362,000,000	86,362,000,000	86,362,000,000	139,220,000,000	139,220,000,000	139,220,000,000	139,220,000,000	93,322,000,000	93,322,000,000	93,322,000,000	93,322,000,000
Lenovo		USD	4	-606,000,000	-606,000,000	-606,000,000	-606,000,000	-604,000,000	-604,000,000	-604,000,000	-604,000,000	-464,000,000	-464,000,000	-464,000,000	-464,000,000	-503,000,000	-503,000,000	-503,000,000	-503,000,000	-538,000,000	-538,000,000	-538,000,000	-538,000,000	-664,000,000	-664,000,000	-664,000,000	-664,000,000	-697,000,000	-697,000,000	-697,000,000	-697,000,000	-998,000,000	-998,000,000	-998,000,000	-998,000,000	-1,120,000,000	-1,120,000,000	-1,120,000,000	-1,120,000,000	-730,000,000	-730,000,000	-730,000,000	-730,000,000		 - 	 - 	 - 
Lenovo		USD	5	16,219,000,000	16,219,000,000	16,219,000,000	16,219,000,000	8,650,000,000	8,650,000,000	8,650,000,000	8,650,000,000	7,319,000,000	7,319,000,000	7,319,000,000	7,319,000,000	6,139,000,000	6,139,000,000	6,139,000,000	6,139,000,000	10,806,000,000	10,806,000,000	10,806,000,000	10,806,000,000	6,448,000,000	6,448,000,000	6,448,000,000	6,448,000,000	17,130,000,000	17,130,000,000	17,130,000,000	17,130,000,000	13,100,000,000	13,100,000,000	13,100,000,000	13,100,000,000	13,132,000,000	13,132,000,000	13,132,000,000	13,132,000,000	14,376,000,000	14,376,000,000	14,376,000,000	14,376,000,000	16,709,000,000	16,709,000,000	16,709,000,000	16,709,000,000
Makita Corp		JPY	4	-12,120,000,000	-12,120,000,000	-12,120,000,000	-12,120,000,000	-11,770,000,000	-11,770,000,000	-11,770,000,000	-11,770,000,000	-13,220,000,000	-13,220,000,000	-13,220,000,000	-13,220,000,000	-14,150,000,000	-14,150,000,000	-14,150,000,000	-14,150,000,000	-23,870,000,000	-23,870,000,000	-23,870,000,000	-23,870,000,000	-44,410,000,000	-44,410,000,000	-44,410,000,000	-44,410,000,000	-49,860,000,000	-49,860,000,000	-49,860,000,000	-49,860,000,000	-59,940,000,000	-59,940,000,000	-59,940,000,000	-59,940,000,000	-39,090,000,000	-39,090,000,000	-39,090,000,000	-39,090,000,000	-17,850,000,000	-17,850,000,000	-17,850,000,000	-17,850,000,000		 - 	 - 	 - 
Makita Corp		JPY	5	846,989,000,000	846,989,000,000	846,989,000,000	846,989,000,000	947,421,000,000	947,421,000,000	947,421,000,000	947,421,000,000	1,058,700,000,000	1,058,700,000,000	1,058,700,000,000	1,058,700,000,000	1,411,635,000,000	1,411,635,000,000	1,411,635,000,000	1,411,635,000,000	1,046,507,000,000	1,046,507,000,000	1,046,507,000,000	1,046,507,000,000	900,080,000,000	900,080,000,000	900,080,000,000	900,080,000,000	1,288,398,000,000	1,288,398,000,000	1,288,398,000,000	1,288,398,000,000	1,068,481,000,000	1,068,481,000,000	1,068,481,000,000	1,068,481,000,000	890,657,000,000	890,657,000,000	890,657,000,000	890,657,000,000	1,148,705,000,000	1,148,705,000,000	1,148,705,000,000	1,148,705,000,000	1,324,999,000,000	1,324,999,000,000	1,324,999,000,000	1,324,999,000,000
MediaTek		TWD	4	-9,370,000,000	-9,370,000,000	-9,370,000,000	-9,370,000,000	-6,670,000,000	-6,670,000,000	-6,670,000,000	-6,670,000,000	-4,050,000,000	-4,050,000,000	-4,050,000,000	-4,050,000,000	-4,650,000,000	-4,650,000,000	-4,650,000,000	-4,650,000,000	-5,620,000,000	-5,620,000,000	-5,620,000,000	-5,620,000,000	-5,000,000,000	-5,000,000,000	-5,000,000,000	-5,000,000,000	-16,990,000,000	-16,990,000,000	-16,990,000,000	-16,990,000,000	-13,620,000,000	-13,620,000,000	-13,620,000,000	-13,620,000,000	-9,320,000,000	-9,320,000,000	-9,320,000,000	-9,320,000,000	-13,790,000,000	-13,790,000,000	-13,790,000,000	-13,790,000,000		 - 	 - 	 - 
MediaTek		TWD	5	390,947,000,000	390,947,000,000	390,947,000,000	390,947,000,000	340,840,000,000	340,840,000,000	340,840,000,000	340,840,000,000	462,658,000,000	462,658,000,000	462,658,000,000	462,658,000,000	363,462,000,000	363,462,000,000	363,462,000,000	363,462,000,000	701,475,000,000	701,475,000,000	701,475,000,000	701,475,000,000	1,180,889,000,000	1,180,889,000,000	1,180,889,000,000	1,180,889,000,000	1,893,347,000,000	1,893,347,000,000	1,893,347,000,000	1,893,347,000,000	994,680,000,000	994,680,000,000	994,680,000,000	994,680,000,000	1,615,731,000,000	1,615,731,000,000	1,615,731,000,000	1,615,731,000,000	2,255,360,000,000	2,255,360,000,000	2,255,360,000,000	2,255,360,000,000	2,215,477,000,000	2,215,477,000,000	2,215,477,000,000	2,215,477,000,000
Micron		USD	4	-4,020,000,000	-4,020,000,000	-4,020,000,000	-4,020,000,000	-5,820,000,000	-5,820,000,000	-5,820,000,000	-5,820,000,000	-4,730,000,000	-4,730,000,000	-4,730,000,000	-4,730,000,000	-8,880,000,000	-8,880,000,000	-8,880,000,000	-8,880,000,000	-9,780,000,000	-9,780,000,000	-9,780,000,000	-9,780,000,000	-8,220,000,000	-8,220,000,000	-8,220,000,000	-8,220,000,000	-10,030,000,000	-10,030,000,000	-10,030,000,000	-10,030,000,000	-12,070,000,000	-12,070,000,000	-12,070,000,000	-12,070,000,000	-7,680,000,000	-7,680,000,000	-7,680,000,000	-7,680,000,000	-8,390,000,000	-8,390,000,000	-8,390,000,000	-8,390,000,000		 - 	 - 	 - 
Micron		USD	5	17,180,000,000	17,180,000,000	17,180,000,000	17,180,000,000	17,559,000,000	17,559,000,000	17,559,000,000	17,559,000,000	34,945,000,000	34,945,000,000	34,945,000,000	34,945,000,000	60,113,000,000	60,113,000,000	60,113,000,000	60,113,000,000	49,307,000,000	49,307,000,000	49,307,000,000	49,307,000,000	50,762,000,000	50,762,000,000	50,762,000,000	50,762,000,000	83,306,000,000	83,306,000,000	83,306,000,000	83,306,000,000	62,890,000,000	62,890,000,000	62,890,000,000	62,890,000,000	73,035,000,000	73,035,000,000	73,035,000,000	73,035,000,000	105,972,000,000	105,972,000,000	105,972,000,000	105,972,000,000	97,106,000,000	97,106,000,000	97,106,000,000	97,106,000,000
Microsoft		USD	4	-5,940,000,000	-5,940,000,000	-5,940,000,000	-5,940,000,000	-8,340,000,000	-8,340,000,000	-8,340,000,000	-8,340,000,000	-8,130,000,000	-8,130,000,000	-8,130,000,000	-8,130,000,000	-11,630,000,000	-11,630,000,000	-11,630,000,000	-11,630,000,000	-13,920,000,000	-13,920,000,000	-13,920,000,000	-13,920,000,000	-15,440,000,000	-15,440,000,000	-15,440,000,000	-15,440,000,000	-20,620,000,000	-20,620,000,000	-20,620,000,000	-20,620,000,000	-23,890,000,000	-23,890,000,000	-23,890,000,000	-23,890,000,000	-28,110,000,000	-28,110,000,000	-28,110,000,000	-28,110,000,000	-44,480,000,000	-44,480,000,000	-44,480,000,000	-44,480,000,000		 - 	 - 	 - 
Microsoft		USD	5	357,155,000,000	357,155,000,000	357,155,000,000	357,155,000,000	402,220,000,000	402,220,000,000	402,220,000,000	402,220,000,000	532,175,000,000	532,175,000,000	532,175,000,000	532,175,000,000	757,640,000,000	757,640,000,000	757,640,000,000	757,640,000,000	1,026,511,000,000	1,026,511,000,000	1,026,511,000,000	1,026,511,000,000	1,543,306,000,000	1,543,306,000,000	1,543,306,000,000	1,543,306,000,000	2,040,304,000,000	2,040,304,000,000	2,040,304,000,000	2,040,304,000,000	1,920,840,000,000	1,920,840,000,000	1,920,840,000,000	1,920,840,000,000	2,532,081,000,000	2,532,081,000,000	2,532,081,000,000	2,532,081,000,000	3,321,869,000,000	3,321,869,000,000	3,321,869,000,000	3,321,869,000,000	2,790,643,000,000	2,790,643,000,000	2,790,643,000,000	2,790,643,000,000
MITSUBISHI ELECTRIC		JPY	4	-308,000,000,000	-308,000,000,000	-308,000,000,000	-308,000,000,000	-249,000,000,000	-249,000,000,000	-249,000,000,000	-249,000,000,000	-160,000,000,000	-160,000,000,000	-160,000,000,000	-160,000,000,000	-277,000,000,000	-277,000,000,000	-277,000,000,000	-277,000,000,000	-316,000,000,000	-316,000,000,000	-316,000,000,000	-316,000,000,000	-326,000,000,000	-326,000,000,000	-326,000,000,000	-326,000,000,000	-389,000,000,000	-389,000,000,000	-389,000,000,000	-389,000,000,000	-394,000,000,000	-394,000,000,000	-394,000,000,000	-394,000,000,000	-455,000,000,000	-455,000,000,000	-455,000,000,000	-455,000,000,000	-521,000,000,000	-521,000,000,000	-521,000,000,000	-521,000,000,000		 - 	 - 	 - 
MITSUBISHI ELECTRIC		JPY	5	3,921,133,000,000	3,921,133,000,000	3,921,133,000,000	3,921,133,000,000	3,019,835,000,000	3,019,835,000,000	3,019,835,000,000	3,019,835,000,000	3,813,275,000,000	3,813,275,000,000	3,813,275,000,000	3,813,275,000,000	4,538,406,000,000	4,538,406,000,000	4,538,406,000,000	4,538,406,000,000	4,877,049,000,000	4,877,049,000,000	4,877,049,000,000	4,877,049,000,000	3,416,596,000,000	3,416,596,000,000	3,416,596,000,000	3,416,596,000,000	4,619,678,000,000	4,619,678,000,000	4,619,678,000,000	4,619,678,000,000	6,792,741,000,000	6,792,741,000,000	6,792,741,000,000	6,792,741,000,000	6,808,344,000,000	6,808,344,000,000	6,808,344,000,000	6,808,344,000,000	14,342,682,000,000	14,342,682,000,000	14,342,682,000,000	14,342,682,000,000	10,444,980,000,000	10,444,980,000,000	10,444,980,000,000	10,444,980,000,000
Nexans S.A. 		EUR	4	-176,000,000	-176,000,000	-176,000,000	-176,000,000	-134,000,000	-134,000,000	-134,000,000	-134,000,000	-161,000,000	-161,000,000	-161,000,000	-161,000,000	-192,000,000	-192,000,000	-192,000,000	-192,000,000	-238,000,000	-238,000,000	-238,000,000	-238,000,000	-225,000,000	-225,000,000	-225,000,000	-225,000,000	-206,000,000	-206,000,000	-206,000,000	-206,000,000	-298,000,000	-298,000,000	-298,000,000	-298,000,000	-377,000,000	-377,000,000	-377,000,000	-377,000,000	-378,000,000	-378,000,000	-378,000,000	-378,000,000		 - 	 - 	 - 
Nexans S.A. 		EUR	5	1,436,000,000	1,436,000,000	1,436,000,000	1,436,000,000	2,129,000,000	2,129,000,000	2,129,000,000	2,129,000,000	2,219,000,000	2,219,000,000	2,219,000,000	2,219,000,000	1,055,000,000	1,055,000,000	1,055,000,000	1,055,000,000	1,890,000,000	1,890,000,000	1,890,000,000	1,890,000,000	2,556,000,000	2,556,000,000	2,556,000,000	2,556,000,000	3,754,000,000	3,754,000,000	3,754,000,000	3,754,000,000	3,648,000,000	3,648,000,000	3,648,000,000	3,648,000,000	3,460,000,000	3,460,000,000	3,460,000,000	3,460,000,000	4,555,000,000	4,555,000,000	4,555,000,000	4,555,000,000	3,939,000,000	3,939,000,000	3,939,000,000	3,939,000,000
NVIDIA		USD	4	-86,000,000	-86,000,000	-86,000,000	-86,000,000	-176,000,000	-176,000,000	-176,000,000	-176,000,000	-593,000,000	-593,000,000	-593,000,000	-593,000,000	-600,000,000	-600,000,000	-600,000,000	-600,000,000	-489,000,000	-489,000,000	-489,000,000	-489,000,000	-1,130,000,000	-1,130,000,000	-1,130,000,000	-1,130,000,000	-976,000,000	-976,000,000	-976,000,000	-976,000,000	-1,800,000,000	-1,800,000,000	-1,800,000,000	-1,800,000,000	-1,070,000,000	-1,070,000,000	-1,070,000,000	-1,070,000,000	-3,240,000,000	-3,240,000,000	-3,240,000,000	-3,240,000,000		 - 	 - 	 - 
NVIDIA		USD	5	15,441,000,000	15,441,000,000	15,441,000,000	15,441,000,000	59,101,000,000	59,101,000,000	59,101,000,000	59,101,000,000	147,458,000,000	147,458,000,000	147,458,000,000	147,458,000,000	97,692,000,000	97,692,000,000	97,692,000,000	97,692,000,000	153,294,000,000	153,294,000,000	153,294,000,000	153,294,000,000	332,657,000,000	332,657,000,000	332,657,000,000	332,657,000,000	569,300,000,000	569,300,000,000	569,300,000,000	569,300,000,000	487,327,000,000	487,327,000,000	487,327,000,000	487,327,000,000	1,507,466,000,000	1,507,466,000,000	1,507,466,000,000	1,507,466,000,000	3,492,764,000,000	3,492,764,000,000	3,492,764,000,000	3,492,764,000,000	2,644,472,000,000	2,644,472,000,000	2,644,472,000,000	2,644,472,000,000
NXP		USD	4	-341,000,000	-341,000,000	-341,000,000	-341,000,000	-389,000,000	-389,000,000	-389,000,000	-389,000,000	-552,000,000	-552,000,000	-552,000,000	-552,000,000	-611,000,000	-611,000,000	-611,000,000	-611,000,000	-526,000,000	-526,000,000	-526,000,000	-526,000,000	-392,000,000	-392,000,000	-392,000,000	-392,000,000	-800,000,000	-800,000,000	-800,000,000	-800,000,000	-1,000,000	-1,000,000	-1,000,000	-1,000,000	-827,000,000	-827,000,000	-827,000,000	-827,000,000	-727,000,000	-727,000,000	-727,000,000	-727,000,000		 - 	 - 	 - 
NXP		USD	5	19,448,000,000	19,448,000,000	19,448,000,000	19,448,000,000	32,851,000,000	32,851,000,000	32,851,000,000	32,851,000,000	39,697,000,000	39,697,000,000	39,697,000,000	39,697,000,000	21,654,000,000	21,654,000,000	21,654,000,000	21,654,000,000	35,573,000,000	35,573,000,000	35,573,000,000	35,573,000,000	44,483,000,000	44,483,000,000	44,483,000,000	44,483,000,000	60,574,000,000	60,574,000,000	60,574,000,000	60,574,000,000	40,951,000,000	40,951,000,000	40,951,000,000	40,951,000,000	59,203,000,000	59,203,000,000	59,203,000,000	59,203,000,000	52,826,000,000	52,826,000,000	52,826,000,000	52,826,000,000	48,203,000,000	48,203,000,000	48,203,000,000	48,203,000,000
OMRON CORPORATION		JPY	4	-37,120,000,000	-37,120,000,000	-37,120,000,000	-37,120,000,000	-37,900,000,000	-37,900,000,000	-37,900,000,000	-37,900,000,000	-25,820,000,000	-25,820,000,000	-25,820,000,000	-25,820,000,000	-38,540,000,000	-38,540,000,000	-38,540,000,000	-38,540,000,000	-39,040,000,000	-39,040,000,000	-39,040,000,000	-39,040,000,000	-37,630,000,000	-37,630,000,000	-37,630,000,000	-37,630,000,000	-26,660,000,000	-26,660,000,000	-26,660,000,000	-26,660,000,000	-33,360,000,000	-33,360,000,000	-33,360,000,000	-33,360,000,000	-45,020,000,000	-45,020,000,000	-45,020,000,000	-45,020,000,000	-45,380,000,000	-45,380,000,000	-45,380,000,000	-45,380,000,000		 - 	 - 	 - 
OMRON CORPORATION		JPY	5	1,177,522,000,000	1,177,522,000,000	1,177,522,000,000	1,177,522,000,000	704,739,000,000	704,739,000,000	704,739,000,000	704,739,000,000	1,044,447,000,000	1,044,447,000,000	1,044,447,000,000	1,044,447,000,000	1,328,794,000,000	1,328,794,000,000	1,328,794,000,000	1,328,794,000,000	1,063,777,000,000	1,063,777,000,000	1,063,777,000,000	1,063,777,000,000	1,152,667,000,000	1,152,667,000,000	1,152,667,000,000	1,152,667,000,000	1,742,441,000,000	1,742,441,000,000	1,742,441,000,000	1,742,441,000,000	1,636,163,000,000	1,636,163,000,000	1,636,163,000,000	1,636,163,000,000	1,516,970,000,000	1,516,970,000,000	1,516,970,000,000	1,516,970,000,000	1,065,526,000,000	1,065,526,000,000	1,065,526,000,000	1,065,526,000,000	829,325,000,000	829,325,000,000	829,325,000,000	829,325,000,000
ABB LTD		USD	4	876,000,000	876,000,000	876,000,000	876,000,000	831,000,000	831,000,000	831,000,000	831,000,000	949,000,000	949,000,000	949,000,000	949,000,000	772,000,000	772,000,000	772,000,000	772,000,000	762,000,000	762,000,000	762,000,000	762,000,000	694,000,000	694,000,000	694,000,000	694,000,000	820,000,000	820,000,000	820,000,000	820,000,000	762,000,000	762,000,000	762,000,000	762,000,000	770,000,000	770,000,000	770,000,000	770,000,000	845,000,000	845,000,000	845,000,000	845,000,000	913,000,000	913,000,000	913,000,000	913,000,000
ABB LTD		USD	5	40,215,000,000	40,215,000,000	40,215,000,000	40,215,000,000	45,167,000,000	45,167,000,000	45,167,000,000	45,167,000,000	57,207,000,000	57,207,000,000	57,207,000,000	57,207,000,000	40,509,000,000	40,509,000,000	40,509,000,000	40,509,000,000	51,482,000,000	51,482,000,000	51,482,000,000	51,482,000,000	57,573,000,000	57,573,000,000	57,573,000,000	57,573,000,000	76,054,000,000	76,054,000,000	76,054,000,000	76,054,000,000	56,637,000,000	56,637,000,000	56,637,000,000	56,637,000,000	81,637,000,000	81,637,000,000	81,637,000,000	81,637,000,000	99,453,000,000	99,453,000,000	99,453,000,000	99,453,000,000	93,801,000,000	93,801,000,000	93,801,000,000	93,801,000,000
AMD		USD	4	96,000,000	96,000,000	96,000,000	96,000,000	77,000,000	77,000,000	77,000,000	77,000,000	113,000,000	113,000,000	113,000,000	113,000,000	163,000,000	163,000,000	163,000,000	163,000,000	217,000,000	217,000,000	217,000,000	217,000,000	294,000,000	294,000,000	294,000,000	294,000,000	301,000,000	301,000,000	301,000,000	301,000,000	450,000,000	450,000,000	450,000,000	450,000,000	546,000,000	546,000,000	546,000,000	546,000,000	636,000,000	636,000,000	636,000,000	636,000,000	748,600,000	748,600,000	748,600,000	748,600,000
AMD		USD	5	2,371,000,000	2,371,000,000	2,371,000,000	2,371,000,000	10,791,000,000	10,791,000,000	10,791,000,000	10,791,000,000	10,179,000,000	10,179,000,000	10,179,000,000	10,179,000,000	17,809,000,000	17,809,000,000	17,809,000,000	17,809,000,000	52,581,000,000	52,581,000,000	52,581,000,000	52,581,000,000	110,293,000,000	110,293,000,000	110,293,000,000	110,293,000,000	184,946,000,000	184,946,000,000	184,946,000,000	184,946,000,000	100,885,000,000	100,885,000,000	100,885,000,000	100,885,000,000	240,322,000,000	240,322,000,000	240,322,000,000	240,322,000,000	203,159,000,000	203,159,000,000	203,159,000,000	203,159,000,000	166,488,000,000	166,488,000,000	166,488,000,000	166,488,000,000
